response_id	type	mistake	exclusion_criteria
R_06DkavezrMGKffj	serious	There were no serious data-related mistakes in the last 5 years.	out of timeframe
R_0i9ZGQEYBdbMe1r	serious	see above	see above
R_0ibVXbAiuoWoMWR	serious	None that I can think of.	irrelevant content
R_0rFImCR89hEJax3	recurring	NA	missing
R_0rFImCR89hEJax3	serious	NA	missing
R_10H7jaE3hqPEC59	recurring	Sorry, cannot remember any	irrelevant content
R_10H7jaE3hqPEC59	serious	None. But I have experience of errors earlier. Once a doctoral student made a transformation of data wrong which resulted in presenting wrong results at a minor conference	out of timeframe
R_11gukLDI1B8MFre	serious	See above (the ID issue).	see above
R_12bhBKmNyRkrtgz	recurring	NA	missing
R_12bhBKmNyRkrtgz	serious	NA	missing
R_12ovEFWl7OzSTn7	recurring	NA	missing
R_12ovEFWl7OzSTn7	serious	NA	missing
R_1C8fB8CBFHe5SbN	serious	We are not aware of any serious mistake that was not found and corrected. Note: we usually use designs that do not require sophisticated data treatments.	irrelevant content
R_1C9qNC1dUt7ZiSE	serious	NA	missing
R_1CKGCablLVpWzNT	serious	SEEMS TO BE THE SAME QUESTION AS ABOVE.  I LOVE IT WHEN THERE IS A MISTAKE IN A SURVEY ON MISTAKES!	irrelevant content
R_1dMSnCIjM6WCRyg	recurring	NA	missing
R_1dMSnCIjM6WCRyg	serious	NA	missing
R_1DTQz85ICC3MW9k	recurring	NA	missing
R_1DTQz85ICC3MW9k	serious	NA	missing
R_1DzEEG1QzkdWLdl	serious	the above mentioned	see above
R_1dzgIml0qeTOy3z	recurring	NA	missing
R_1dzgIml0qeTOy3z	serious	NA	missing
R_1EKvVZl7B5pr465	recurring	'=	irrelevant content
R_1f7yeRvfde3epEo	recurring	NA	missing
R_1f7yeRvfde3epEo	serious	NA	missing
R_1f8IXSbHxMdw6pC	recurring	no, too much work. this questin is too vague	irrelevant content
R_1f8IXSbHxMdw6pC	serious	NA	missing
R_1FqSTPQf3FjsXjM	serious	NA	missing
R_1g0dAm4HvOZLwXc	serious	NA	missing
R_1GEpvVXQjiA6JFC	serious	Cannot recall any serious thing	irrelevant content
R_1gi7in2zvTaVHpj	recurring	can't recall any examples	irrelevant content
R_1gi7in2zvTaVHpj	serious	NA	missing
R_1GWgjyjQjIpBIew	serious	maybe unrelated, but a PhD of mine student collected way too much data on elderly participants. We could have known that we would be unable to analyze it all, so a big data set got collected but nobody had time to analyze and report it.  the impact was unnecessary use of resources (expensive recording equipment) and time / burden for the participants.	irrelevant content
R_1hLr7MYgQpK05AT	serious	NA	missing
R_1i2NaZKfSEk0NAo	recurring	No data mistakes at this time	irrelevant content
R_1i2NaZKfSEk0NAo	serious	NA	missing
R_1IhH5uWbd7fWbq1	recurring	None that I can remember	irrelevant content
R_1IhH5uWbd7fWbq1	serious	NA	missing
R_1ImjMmhDv5BB0tL	serious	NA	missing
R_1IWT6B2ocVRIEy7	serious	Nothing	irrelevant content
R_1IXK61gu891fM53	serious	? can't understand question	irrelevant content
R_1jvKqTl2Ij19jke	serious	NA	missing
R_1K8Ralb7H385hcB	serious	The one mentioned above.	see above
R_1kMINu0tVdNVrjQ	serious	Same as above.	see above
R_1KoS03TB4Dmwx8K	serious	same as above	see above
R_1kTSdgoR3ATiihw	serious	That same error I described above (error with seeding of random number generator, RNG).	see above
R_1Kx6uWGscVutS3f	serious	NA	missing
R_1kY9lz7ULI6kPb3	serious	I thought I did?	irrelevant content
R_1lB26n6FmxVjcjF	recurring	NA	missing
R_1lB26n6FmxVjcjF	serious	NA	missing
R_1Lez5WNMDX1hRUJ	serious	NA	missing
R_1lhqYV1QwEPPpZy	recurring	NA	missing
R_1LifDMLl5WpopDp	recurring	NA	missing
R_1LifDMLl5WpopDp	serious	NA	missing
R_1M4JynyqFgfbEGn	recurring	NA	missing
R_1M4JynyqFgfbEGn	serious	NA	missing
R_1mVqGcXzn9RTmbh	serious	NA	missing
R_1mW0ThB9AoMJITt	serious	No. All are fairly trivial and can be corrected with some backtracking. Nothing stands out. The real question is, How much do I trust the original compilers of the data?	irrelevant content
R_1NCbBfTdX4Jcm6q	serious	A PhD student working as a research associate faked some data which would be included in their project.	irrelevant content
R_1NwBZ6uZyWVD4r1	recurring	too long! sorry.	irrelevant content
R_1NwBZ6uZyWVD4r1	serious	already asked this question	irrelevant content
R_1o0l1vb0QVWOutj	serious	The one I just mentioned.	see above
R_1obR2FYKvFuxCjp	recurring	I do not carry out this type of research normally, so such mistakes are rather uncommon.	irrelevant content
R_1obR2FYKvFuxCjp	serious	I can't recall any really serious ones.	irrelevant content
R_1ogVGCkvyaVYrta	serious	NA	missing
R_1ohTkjECbK7PyOm	recurring	NA	missing
R_1ohTkjECbK7PyOm	serious	NA	missing
R_1oi2EOZ5uJxYlCL	serious	Luckily we did not experience any really serious mistakt	irrelevant content
R_1OkPHcZJmExTE2S	serious	none	irrelevant content
R_1rH1NztEvUbUmp0	serious	same as above	see above
R_1rqy1rVzOKTinKa	serious	To my knowledge, the above-described error is the most serious that has occurred.	see above
R_1rrxPxsFGkflPpx	serious	don't remember	irrelevant content
R_202sfhbxfEwDsEV	recurring	NA	missing
R_202sfhbxfEwDsEV	serious	NA	missing
R_22EynRiZfQKWOM7	serious	NA	missing
R_22ms4BKg4b2PqVr	recurring	NA	missing
R_22ms4BKg4b2PqVr	serious	NA	missing
R_238HFUYOk87Upxk	serious	the one just mentioned above	see above
R_23f99S8tbBeZcmr	serious	NA	missing
R_240mxsPP2K7qvrD	serious	see above	see above
R_24AdUWCIaQLvyCw	serious	NA	missing
R_24jZ54FYuSFoono	recurring	NA	missing
R_24jZ54FYuSFoono	serious	NA	missing
R_25RcV6aMECnyYyF	serious	I can't think of a serious one.	irrelevant content
R_28FWEYSvglYwL9F	serious	NA	missing
R_2AF6qvxadkDoTSW	recurring	NA	missing
R_2AF6qvxadkDoTSW	serious	NA	missing
R_2ay4ISLXNFlfXiA	serious	Can't think of anything serious.  My data is pretty simple.	irrelevant content
R_2BbuTGCx18uGQHF	serious	NA	missing
R_2dLSHG3yGKzKecQ	serious	I am not aware of any.	irrelevant content
R_2dT8e8Ru3SR801H	recurring	NA	missing
R_2dT8e8Ru3SR801H	serious	NA	missing
R_2E3SqExkJaw5KMM	serious	No serious mistake	irrelevant content
R_2EBoQ5pteGRidTo	serious	"I'm not sure I understand the question: ""Could you write down the most serious data-related mistake that happened years in your team in the last 5 years?"""	irrelevant content
R_2EEnIEQa9QlsXtt	serious	Fortunately none	irrelevant content
R_2EGYmDTj3LV7rUU	serious	The one mentioned above	see above
R_2EzS06GIwQj0lQn	serious	see above	see above
R_2f97NKM11tYyR5P	recurring	None that I know of	irrelevant content
R_2f97NKM11tYyR5P	serious	None that I know of	irrelevant content
R_2f9fC66h2IIZs1w	serious	I do not completely understand this question, and how it differs from the previous question? The same problem that recurred for years? I am not aware of a problem that continued over multiple studies.	irrelevant content
R_2ONZImZtC8mhCrA	serious	NA	missing
R_2OTKjDgl6AvVwvh	serious	See above	see above
R_2PchCq8UnKbYzmr	recurring	NA	missing
R_2PchCq8UnKbYzmr	serious	NA	missing
R_2pXHxkLf2ltxzDW	serious	As above	see above
R_2q9Ql7h5CKuPKN0	serious	NA	missing
