response_id	cause	cause_no	cause_sep	maximum_response_one_cause	type	group_cause	code_cause
R_06DkavezrMGKffj	Lack of attention to details	1	Lack of attention to details	yes	recurring	inattention	inattention
R_10uWnIrva7R5dgS	Lacking knowledge of the database system and poor UI design for the data capture part which was designed by a different team years before the actual analysis.	1	Lacking knowledge of the database system and poor UI design for the data capture part which was designed by a different team years before the actual analysis.	yes	serious	lack of knowledge/experience	lack of knowledge
R_1163fpcUwH7iUdJ	Most people in my group don't take this part of data recording seriously. While they are very careful when preparing for an upcoming experiment, they are much less mindful with naming and storing the data they just recorded...	1	Most people in my group don't take this part of data recording seriously. While they are very careful when preparing for an upcoming experiment, they are much less mindful with naming and storing the data they just recorded...	yes	serious	carelessness	not taking the task seriously
R_12tYv2Y5nec53EF	Poor planning essentially. Not thinking to name variables/files in a sufficiently transparent way.	1	Poor planning essentially. Not thinking to name variables/files in a sufficiently transparent way.	yes	recurring	bad or lack of planning	insufficient planning
R_12tYv2Y5nec53EF	RA wasn't up to the job - most likely my mistake in not spending long enough re-iterating the conditions.	1	RA wasn't up to the job - most likely my mistake in not spending long enough re-iterating the conditions.	yes	serious	bad skill management	insufficient training
R_1CKGCablLVpWzNT	LACK OF COMMUNICATION OR MISCOMMUNICATION BETWEEN IT SUPPORT PERSON AND DATA MANAGER/STATISTICIAN	1	LACK OF COMMUNICATION	no	recurring	miscommunication	miscommunication
R_1CKGCablLVpWzNT	LACK OF COMMUNICATION OR MISCOMMUNICATION BETWEEN IT SUPPORT PERSON AND DATA MANAGER/STATISTICIAN	2	MISCOMMUNICATION BETWEEN IT SUPPORT PERSON AND DATA MANAGER/STATISTICIAN	no	recurring	miscommunication	miscommunication
R_1cZWGJtCZKD1ew4	Incorrect SQL queries, failure of care by relevant staff	2	failure of care by relevant staff	no	serious	carelessness	carelessness
R_1ditQMNo8bzXokM	Inadequate norming within the lab on acceptable forms and levels of annotation in data files	1	Inadequate norming within the lab on acceptable forms and levels of annotation in data files	yes	recurring	bad or lack of standards	lack of standard procedures
R_1ditQMNo8bzXokM	Human error. The document included well over 100 interactions and one set was accidentally excluded by a graduate student.	1	Human error. The document included well over 100 interactions and one set was accidentally excluded by a graduate student.	yes	serious	inattention	accidental mistakes
R_1eru08S1SGWl5sm	computer crash	1	computer crash	yes	serious	technical issue	technical failure
R_1f1ptLmJabcd2gt	too many people working on the same database. inattention	1	too many people working on the same database.	no	recurring	project management issue	too many team members working on one task
R_1f1ptLmJabcd2gt	low attention and care	1	low attention and care	no	serious	inattention	inattention
R_1f1ptLmJabcd2gt	too many people working on the same database. inattention	2	inattention	no	recurring	inattention	inattention
R_1fd7fjBC84Nf1XI	lack of double checking routines	1	lack of double checking routines	yes	recurring	bad or lack of standards	lack of procedures for checking
R_1fd7fjBC84Nf1XI	No double check routine	1	No double check routine	yes	serious	bad or lack of standards	lack of standard procedure
R_1FgF6lRVQZUd4dW	Carelessness, using incorrect/outdated scoring procedure, lack of prior experience with the task, incomplete/improper training, attempting to use a 'manual' scoring method rather than using syntax.	1	Carelessness	no	recurring	carelessness	carelessness
R_1FgF6lRVQZUd4dW	Carelessness, using incorrect/outdated scoring procedure, lack of prior experience with the task, incomplete/improper training, attempting to use a 'manual' scoring method rather than using syntax.	2	using incorrect/outdated scoring procedure	no	recurring	bad or lack of standards	using incorrect procedure
R_1FgF6lRVQZUd4dW	Carelessness, using incorrect/outdated scoring procedure, lack of prior experience with the task, incomplete/improper training, attempting to use a 'manual' scoring method rather than using syntax.	3	lack of prior experience with the task	no	recurring	lack of knowledge/experience	inexperience
R_1FgF6lRVQZUd4dW	Carelessness, using incorrect/outdated scoring procedure, lack of prior experience with the task, incomplete/improper training, attempting to use a 'manual' scoring method rather than using syntax.	4	incomplete/improper training	no	recurring	bad skill management	improper training
R_1FgF6lRVQZUd4dW	Carelessness, using incorrect/outdated scoring procedure, lack of prior experience with the task, incomplete/improper training, attempting to use a 'manual' scoring method rather than using syntax.	5	attempting to use a 'manual' scoring method rather than using syntax.	no	recurring	risking human error	manual task handling instead of code
R_1FgF6lRVQZUd4dW	Carelessness.	1	Carelessness.	yes	serious	carelessness	carelessness
R_1FnQHiAFu95KLEA	experimenter error --did not recode items correctly---despite having a data checker	1	experimenter error --did not recode items correctly---despite having a data checker	yes	serious	risking human error	experimenter error
R_1FqSTPQf3FjsXjM	Inconsistent Rating Scales	1	Inconsistent Rating Scales	yes	recurring	bad or lack of standards	inconsistent measurement
R_1FzFMxxfXX2SLGw	experimenter error	1	experimenter error	yes	recurring	risking human error	experimenter error
R_1g6hYU8eXreCTSC	Inappropriate communication in the research team. Insufficient pre-experiment communication.	1	Inappropriate communication in the research team.	no	serious	miscommunication	miscommunication
R_1g6hYU8eXreCTSC	Inappropriate communication in the research team. Insufficient pre-experiment communication.	2	Insufficient pre-experiment communication.	no	serious	miscommunication	miscommunication
R_1g86ziif9LCszbc	Poor data management/study design.	1	Poor data management	no	recurring	bad or lack of standards	data management error
R_1GWgjyjQjIpBIew	Sloppiness	1	Sloppiness	yes	recurring	carelessness	sloppiness
R_1GWgjyjQjIpBIew	being too ambitious	1	being too ambitious	yes	serious	overconfidence	being too ambitious
R_1gwrKmk8l9dBdpR	being in a hurry	1	being in a hurry	yes	serious	time management issue	being in a hurry
R_1IH7qhVEGwzF6pZ	To be in hurry.	1	To be in hurry.	yes	recurring	time management issue	being in a hurry
