response_id	cause	cause_no	cause_sep	maximum_response_one_cause	type	group_cause	code_cause	mistake	mistake_no	mistake_sep	maximum_response_one_type	group_type	code_type
R_06DkavezrMGKffj	Lack of attention to details	1	Lack of attention to details	yes	recurring	inattention	inattention	Unclear variable names and labels	1	Unclear variable names and labels	yes	ambiguous naming/defining of data	ambiguous variable naming
R_10uWnIrva7R5dgS	Lacking knowledge of the database system and poor UI design for the data capture part which was designed by a different team years before the actual analysis.	1	Lacking knowledge of the database system and poor UI design for the data capture part which was designed by a different team years before the actual analysis.	yes	serious	lack of knowledge/experience	lack of knowledge	Due to different ways of writing and reading data from a database system, it was possible that crucial information would be interpreted in a wrong way.	1	Due to different ways of writing and reading data from a database system, it was possible that crucial information would be interpreted in a wrong way.	yes	wrong data processing/analysis	not consistent database handling
R_1163fpcUwH7iUdJ	Most people in my group don't take this part of data recording seriously. While they are very careful when preparing for an upcoming experiment, they are much less mindful with naming and storing the data they just recorded...	1	Most people in my group don't take this part of data recording seriously. While they are very careful when preparing for an upcoming experiment, they are much less mindful with naming and storing the data they just recorded...	yes	serious	carelessness	not taking the task seriously	no serious mistakes (the reason is, I'm actually the one in my institude who is responsible for cleaning all datasets, and my approval is necessary before any manuscript based on a given dataset is submitted for publication). However, mixing up subjects and biased matching of different data of the same subject is an everyday matter	1	no serious mistakes (the reason is, I'm actually the one in my institude who is responsible for cleaning all datasets, and my approval is necessary before any manuscript based on a given dataset is submitted for publication). However, mixing up subjects	no	participant allocation error	mixing up participants
R_1163fpcUwH7iUdJ	Most people in my group don't take this part of data recording seriously. While they are very careful when preparing for an upcoming experiment, they are much less mindful with naming and storing the data they just recorded...	1	Most people in my group don't take this part of data recording seriously. While they are very careful when preparing for an upcoming experiment, they are much less mindful with naming and storing the data they just recorded...	yes	serious	carelessness	not taking the task seriously	no serious mistakes (the reason is, I'm actually the one in my institude who is responsible for cleaning all datasets, and my approval is necessary before any manuscript based on a given dataset is submitted for publication). However, mixing up subjects and biased matching of different data of the same subject is an everyday matter	2	biased matching of different data of the same subject is an everyday matter	no	bad connection of data points	mistake in connecting participant to responses
R_12tYv2Y5nec53EF	Poor planning essentially. Not thinking to name variables/files in a sufficiently transparent way.	1	Poor planning essentially. Not thinking to name variables/files in a sufficiently transparent way.	yes	recurring	bad or lack of planning	insufficient planning	Poor variable and file naming. Never led to any loss except in time backtracking and working out what the variables/files refer to.	1	Poor variable and file naming. Never led to any loss except in time backtracking and working out what the variables/files refer to.	yes	ambiguous naming/defining of data	ambiguous variable naming
R_12tYv2Y5nec53EF	RA wasn't up to the job - most likely my mistake in not spending long enough re-iterating the conditions.	1	RA wasn't up to the job - most likely my mistake in not spending long enough re-iterating the conditions.	yes	serious	bad skill management	insufficient training	RA getting conditions mixed up. Had to exclude any data the RA collected as we were not confident it was correct.	1	RA getting conditions mixed up. Had to exclude any data the RA collected as we were not confident it was correct.	yes	participant allocation error	mixing up conditions
R_1CKGCablLVpWzNT	LACK OF COMMUNICATION OR MISCOMMUNICATION BETWEEN IT SUPPORT PERSON AND DATA MANAGER/STATISTICIAN	1	LACK OF COMMUNICATION	no	recurring	miscommunication	miscommunication	FAILURE TO BACK-UP DATA FILES AND RELATED SYNTAX	1	FAILURE TO BACK-UP DATA FILES AND RELATED SYNTAX	yes	loss of materials/documentation/data	failure to backup
R_1CKGCablLVpWzNT	LACK OF COMMUNICATION OR MISCOMMUNICATION BETWEEN IT SUPPORT PERSON AND DATA MANAGER/STATISTICIAN	2	MISCOMMUNICATION BETWEEN IT SUPPORT PERSON AND DATA MANAGER/STATISTICIAN	no	recurring	miscommunication	miscommunication	FAILURE TO BACK-UP DATA FILES AND RELATED SYNTAX	1	FAILURE TO BACK-UP DATA FILES AND RELATED SYNTAX	yes	loss of materials/documentation/data	failure to backup
R_1cZWGJtCZKD1ew4	Incorrect SQL queries, failure of care by relevant staff	2	failure of care by relevant staff	no	serious	carelessness	carelessness	Mismatch of longitudinal data - attribution of later values to the wrong people.	1	Mismatch of longitudinal data - attribution of later values to the wrong people.	yes	bad connection of data points	mixing up subjects, failure to connect data to participant
R_1ditQMNo8bzXokM	Inadequate norming within the lab on acceptable forms and levels of annotation in data files	1	Inadequate norming within the lab on acceptable forms and levels of annotation in data files	yes	recurring	bad or lack of standards	lack of standard procedures	Insufficient annotation in data files to easily revisit the data in the future when the project is out of mind.	1	Insufficient annotation in data files to easily revisit the data in the future when the project is out of mind.	yes	ambiguous naming/defining of data	non-transparent variable naming
R_1ditQMNo8bzXokM	Human error. The document included well over 100 interactions and one set was accidentally excluded by a graduate student.	1	Human error. The document included well over 100 interactions and one set was accidentally excluded by a graduate student.	yes	serious	inattention	accidental mistakes	Published a supplemental online file alongside an article that was incomplete (claimed to report all possible interactions among a set of variables, but erroneously excluded ~11% of them).	1	Published a supplemental online file alongside an article that was incomplete (claimed to report all possible interactions among a set of variables, but erroneously excluded ~11% of them).	yes	wrong reporting	publishing incomplete results
R_1eru08S1SGWl5sm	computer crash	1	computer crash	yes	serious	technical issue	technical failure	data was not stored and the computer which had the data crashed so we lossed the data	1	data was not stored and the computer which had the data crashed so we lossed the data	yes	technical/infrastructural problem	technical failure
R_1f1ptLmJabcd2gt	low attention and care	1	low attention and care	no	serious	inattention	inattention	error in merging two dataset	1	error in merging two dataset	yes	data selection/merging error	wrong data merging
R_1fd7fjBC84Nf1XI	lack of double checking routines	1	lack of double checking routines	yes	recurring	bad or lack of standards	lack of procedures for checking	Computers crashing without a data base backup (twice). software programs with bugs.	1	Computers crashing without a data base backup (twice).	no	technical/infrastructural problem	technical failure
R_1fd7fjBC84Nf1XI	lack of double checking routines	1	lack of double checking routines	yes	recurring	bad or lack of standards	lack of procedures for checking	Computers crashing without a data base backup (twice). software programs with bugs.	2	software programs with bugs.	no	programming error	program coding error
R_1fd7fjBC84Nf1XI	No double check routine	1	No double check routine	yes	serious	bad or lack of standards	lack of standard procedure	computer crashing without a dataset backup	1	computer crashing without a dataset backup	yes	technical/infrastructural problem	technical failure
R_1FgF6lRVQZUd4dW	Carelessness, using incorrect/outdated scoring procedure, lack of prior experience with the task, incomplete/improper training, attempting to use a 'manual' scoring method rather than using syntax.	1	Carelessness	no	recurring	carelessness	carelessness	Coding and scoring errors on for self-report or standardized assessment instruments.	1	Coding and scoring errors on for self-report or standardized assessment instruments.	yes	data coding error	value coding error
R_1FgF6lRVQZUd4dW	Carelessness, using incorrect/outdated scoring procedure, lack of prior experience with the task, incomplete/improper training, attempting to use a 'manual' scoring method rather than using syntax.	2	using incorrect/outdated scoring procedure	no	recurring	bad or lack of standards	using incorrect procedure	Coding and scoring errors on for self-report or standardized assessment instruments.	1	Coding and scoring errors on for self-report or standardized assessment instruments.	yes	data coding error	value coding error
R_1FgF6lRVQZUd4dW	Carelessness, using incorrect/outdated scoring procedure, lack of prior experience with the task, incomplete/improper training, attempting to use a 'manual' scoring method rather than using syntax.	3	lack of prior experience with the task	no	recurring	lack of knowledge/experience	inexperience	Coding and scoring errors on for self-report or standardized assessment instruments.	1	Coding and scoring errors on for self-report or standardized assessment instruments.	yes	data coding error	value coding error
R_1FgF6lRVQZUd4dW	Carelessness, using incorrect/outdated scoring procedure, lack of prior experience with the task, incomplete/improper training, attempting to use a 'manual' scoring method rather than using syntax.	4	incomplete/improper training	no	recurring	bad skill management	improper training	Coding and scoring errors on for self-report or standardized assessment instruments.	1	Coding and scoring errors on for self-report or standardized assessment instruments.	yes	data coding error	value coding error
R_1FgF6lRVQZUd4dW	Carelessness, using incorrect/outdated scoring procedure, lack of prior experience with the task, incomplete/improper training, attempting to use a 'manual' scoring method rather than using syntax.	5	attempting to use a 'manual' scoring method rather than using syntax.	no	recurring	risking human error	manual task handling instead of code	Coding and scoring errors on for self-report or standardized assessment instruments.	1	Coding and scoring errors on for self-report or standardized assessment instruments.	yes	data coding error	value coding error
R_1FgF6lRVQZUd4dW	Carelessness.	1	Carelessness.	yes	serious	carelessness	carelessness	A colleague supplied a data set containing the wrong population of participants. I had to start from scratch on a completed manuscript.	1	A colleague supplied a data set containing the wrong population of participants. I had to start from scratch on a completed manuscript.	yes	data selection/merging error	analyzing the wrong variable
