response_id	years	field
R_202sfhbxfEwDsEV	30	other
R_3kBPKtkLfMFdp7R	11	other
R_1rrxPxsFGkflPpx	30	other
R_12bhBKmNyRkrtgz	15	other
R_8pOKqiOkWWJ7MMF	25	experimental and cognitive psychology
R_DuXE6py2mbqw7qV	20	other
R_1cZWGJtCZKD1ew4	30	methodology and statistics
R_2Qy5UUJfVHXoWZV	28	personality psychology
R_3dMrKvR94hccB6c	15	neurophysiology and physiological psychology
R_25AfsUG4wphIkYO	20	experimental and cognitive psychology
R_3HOJBmqA8Qj5Vik	15	other
R_RLJj4PkFNDEdYit	20	neurophysiology and physiological psychology
R_xa49SUkv3DKQme5	16	experimental and cognitive psychology
R_1Fsku9bfzuOnHlW	27	other
R_31cTpd46NEwANvI	47	clinical psychology
R_2AF6qvxadkDoTSW	1	methodology and statistics
R_XQWU5837JcirPJD	14	developmental and educational psychology
R_beZArZ7io7gtZKh	18	experimental and cognitive psychology
R_T4VDquP5brp47AZ	5	social psychology
R_1ODLj4FHdxhK3G1	5	personality psychology
R_31oXJfKSNMz4pNg	20	social psychology
R_1o7utbGjr0CiW5p	32	experimental and cognitive psychology
R_2YSaYiPeTrGttp8	10	other
R_0Jku2nGizREQbhn	30	social psychology
R_2TzanZPigM2xVuV	35	other
R_2at1V67diUQvkc1	10	clinical psychology
R_1QJxQZXirFtXONG	25	experimental and cognitive psychology
R_b7t6V0jFlrRqXzr	10	social psychology
R_3qr2ZreTjyLiVlU	8	developmental and educational psychology
R_3ej0du4jNp47nCF	15	experimental and cognitive psychology
R_cI8mWxOvlaSvaSZ	12	other
R_2wBKpgElsyjBV0b	12	social psychology
R_zdpFVud5GMDjVUl	20	other
R_RxBYZwBUfiAACBP	8	neurophysiology and physiological psychology
R_sKV54jfDQ68Jx05	29	experimental and cognitive psychology
R_1g0dAm4HvOZLwXc	14	experimental and cognitive psychology
R_RgJqa1XTk8Aexax	9	social psychology
R_3sb7E8EQLjHDtj6	42	other
R_1IWT6B2ocVRIEy7	16	experimental and cognitive psychology
R_30oeLXyDGAJEwhS	15	applied psychology
R_3KJ9fDQ34vAsAxJ	15	developmental and educational psychology
R_339JiVn0BrXV8jw	5	social psychology
