response_id	general_frequency
R_202sfhbxfEwDsEV	Very Low
R_3kBPKtkLfMFdp7R	Low
R_1rrxPxsFGkflPpx	Low
R_12bhBKmNyRkrtgz	Moderate
R_8pOKqiOkWWJ7MMF	Low
R_DuXE6py2mbqw7qV	Low
R_1cZWGJtCZKD1ew4	Very Low
R_2Qy5UUJfVHXoWZV	Low
R_3dMrKvR94hccB6c	Low
R_25AfsUG4wphIkYO	Low
R_3HOJBmqA8Qj5Vik	Low
R_RLJj4PkFNDEdYit	Very Low
R_xa49SUkv3DKQme5	Low
R_1Fsku9bfzuOnHlW	Low
R_31cTpd46NEwANvI	Very Low
R_2AF6qvxadkDoTSW	High
R_XQWU5837JcirPJD	High
R_beZArZ7io7gtZKh	Low
R_T4VDquP5brp47AZ	Very Low
R_1ODLj4FHdxhK3G1	Low
R_31oXJfKSNMz4pNg	Low
R_1o7utbGjr0CiW5p	Very Low
R_2YSaYiPeTrGttp8	Moderate
R_0Jku2nGizREQbhn	Very Low
R_2TzanZPigM2xVuV	Very Low
R_2at1V67diUQvkc1	Low
R_1QJxQZXirFtXONG	Moderate
R_b7t6V0jFlrRqXzr	Low
R_3qr2ZreTjyLiVlU	Low
R_3ej0du4jNp47nCF	Low
R_cI8mWxOvlaSvaSZ	Very Low
R_2wBKpgElsyjBV0b	Low
R_zdpFVud5GMDjVUl	Very Low
R_RxBYZwBUfiAACBP	Low
R_sKV54jfDQ68Jx05	Very Low
R_1g0dAm4HvOZLwXc	Very Low
R_RgJqa1XTk8Aexax	Low
R_3sb7E8EQLjHDtj6	Very Low
R_1IWT6B2ocVRIEy7	Very Low
R_30oeLXyDGAJEwhS	Moderate
R_3KJ9fDQ34vAsAxJ	Very Low
R_339JiVn0BrXV8jw	Very Low
R_2V85hhvhCukcKS9	Low
R_3s7iyh922xBWmba	Low
R_1M4JynyqFgfbEGn	Very Low
R_2xYjxG2sdLotM8Q	Low
R_Q6a2dBgrDtQZrcl	Low
R_23eJfXyDulGeJUx	Low
R_OBy6N3n9kcEUbmx	Low
R_2afAwJhFERuWpcR	Very Low
R_25RcV6aMECnyYyF	Low
R_1C7oJP4CkRa3cdP	Low
R_yD8d1A59bQGBOut	Moderate
R_R4b2NHauEWrdgcN	Very Low
R_2vZVaf4kmem95MD	Low
R_1ojdoHkyRAEhaO9	Moderate
R_1FzFMxxfXX2SLGw	Low
R_1kTbPJmOD0m8h6r	Very Low
R_qITgjpy8nUlimv7	Low
R_2ONZImZtC8mhCrA	Low
R_2agYT2RkPZaarIL	Very Low
R_33lN4aBOD0tfqwg	Very Low
R_2RVBEeR4DZhBco5	Very Low
R_2aQPnJKQNgJw2Ob	High
R_1QLOiVySy2bKLTZ	Low
R_2XhPhn1YeASQHAr	Moderate
R_pscJ1L4obDNvx3H	Very Low
R_2YQViBTzxB4Z58d	Low
R_3G7c4213rSP4bPF	Low
R_XiYRBKDZ1f0f0wV	Moderate
R_1LXOUF7PqQkhz6o	Low
R_3lrEYOs4D0F0s0k	Low
R_3PbElbVvAPqPtkC	Low
R_1mKI2PUxRHLULTJ	Moderate
R_3RlLuQSE5pu1tb0	Low
R_2doLrFMsPU9gioB	Low
R_uwilEnZKlzMWNLH	High
R_1lhqYV1QwEPPpZy	Low
R_1dyHBENaRUWZjBd	Moderate
