response_id	type	mistake	question	rating
R_3kBPKtkLfMFdp7R	recurring	Transcription errors going from paper to computer	frequency	Low
R_3kBPKtkLfMFdp7R	recurring	Transcription errors going from paper to computer	serious	Minor
R_1rrxPxsFGkflPpx	recurring	failing to add informative meta-data	frequency	Low
R_1rrxPxsFGkflPpx	recurring	failing to add informative meta-data	serious	Minor
R_DuXE6py2mbqw7qV	recurring	Wrong analysis	frequency	Low
R_DuXE6py2mbqw7qV	recurring	Wrong analysis	serious	Minor
R_1cZWGJtCZKD1ew4	recurring	Mismatching due to incorrect SQL queries	frequency	Very Low
R_1cZWGJtCZKD1ew4	recurring	Mismatching due to incorrect SQL queries	serious	Major
R_2Qy5UUJfVHXoWZV	recurring	We have used the old dataset or have deleted important data from the database	frequency	Low
R_2Qy5UUJfVHXoWZV	recurring	We have used the old dataset or have deleted important data from the database	serious	Minor
R_3dMrKvR94hccB6c	recurring	Not well documented data recording, recording not according to protocol.	frequency	Low
R_3dMrKvR94hccB6c	recurring	Not well documented data recording, recording not according to protocol.	serious	Moderate
R_25AfsUG4wphIkYO	recurring	Non-transparent labelling of datafiles	frequency	Moderate
R_25AfsUG4wphIkYO	recurring	Non-transparent labelling of datafiles	serious	Minor
R_3HOJBmqA8Qj5Vik	recurring	Some subject did not respond to all queries and we had no checks in place to prevent this	frequency	Low
R_3HOJBmqA8Qj5Vik	recurring	Some subject did not respond to all queries and we had no checks in place to prevent this	serious	Insignificant
R_RLJj4PkFNDEdYit	recurring	Wrong coding of missing data	frequency	Very Low
R_RLJj4PkFNDEdYit	recurring	Wrong coding of missing data	serious	Minor
R_xa49SUkv3DKQme5	recurring	Coding errors in experimental paradigms preventing parts of the data from being sampled.	frequency	Low
R_xa49SUkv3DKQme5	recurring	Coding errors in experimental paradigms preventing parts of the data from being sampled.	serious	Moderate
R_1Fsku9bfzuOnHlW	recurring	Over riding current files by old ones	frequency	Moderate
R_1Fsku9bfzuOnHlW	recurring	Over riding current files by old ones	serious	Minor
R_31cTpd46NEwANvI	recurring	typos	frequency	Very Low
R_31cTpd46NEwANvI	recurring	typos	serious	Insignificant
R_XQWU5837JcirPJD	recurring	We realized that we had been working on the wrong version of a dataset.	frequency	Low
R_XQWU5837JcirPJD	recurring	We realized that we had been working on the wrong version of a dataset.	serious	Minor
R_beZArZ7io7gtZKh	recurring	I do a lot of data reduction and summary in Excel. On occasion, Excel formulas are applied incorrectly or get copied incorrectly.	frequency	Low
R_beZArZ7io7gtZKh	recurring	I do a lot of data reduction and summary in Excel. On occasion, Excel formulas are applied incorrectly or get copied incorrectly.	serious	Minor
R_T4VDquP5brp47AZ	recurring	Data coding variables were mixed up, and to be sure of no mistakes, we had to have RAs recode all of the data.	frequency	Very Low
R_T4VDquP5brp47AZ	recurring	Data coding variables were mixed up, and to be sure of no mistakes, we had to have RAs recode all of the data.	serious	Moderate
R_1ODLj4FHdxhK3G1	recurring	Uninformative variable names, unidentifiable whether already recoded, calculating sums instead of means, doing this based on column numbers instead of variable names... etc.	frequency	Low
R_1ODLj4FHdxhK3G1	recurring	Uninformative variable names, unidentifiable whether already recoded, calculating sums instead of means, doing this based on column numbers instead of variable names... etc.	serious	Minor
R_31oXJfKSNMz4pNg	recurring	Turning on the “select data” function in SPSS and forgetting to turn it off when analysing the full data set	frequency	Low
R_31oXJfKSNMz4pNg	recurring	Turning on the “select data” function in SPSS and forgetting to turn it off when analysing the full data set	serious	Minor
R_1o7utbGjr0CiW5p	recurring	Coded a subject's data with an incorrect code number.	frequency	Very Low
R_1o7utbGjr0CiW5p	recurring	Coded a subject's data with an incorrect code number.	serious	Minor
R_2YSaYiPeTrGttp8	recurring	Error in the analysis code.	frequency	Moderate
R_2YSaYiPeTrGttp8	recurring	Error in the analysis code.	serious	Minor
R_0Jku2nGizREQbhn	recurring	Confusing variable labels	frequency	Moderate
R_0Jku2nGizREQbhn	recurring	Confusing variable labels	serious	Moderate
R_2at1V67diUQvkc1	recurring	Poor variable naming. Mistakes in converting wide to long data formats due to using copy and paste.	frequency	Low
R_2at1V67diUQvkc1	recurring	Poor variable naming. Mistakes in converting wide to long data formats due to using copy and paste.	serious	Minor
R_1QJxQZXirFtXONG	recurring	lost data	frequency	Low
R_1QJxQZXirFtXONG	recurring	lost data	serious	Major
R_3qr2ZreTjyLiVlU	recurring	Incorrect values were entered when transferring data from paper-pencil survey into SPSS files.	frequency	Moderate
R_3qr2ZreTjyLiVlU	recurring	Incorrect values were entered when transferring data from paper-pencil survey into SPSS files.	serious	Moderate
R_3ej0du4jNp47nCF	recurring	The data-related mistakes are often very different: from missing to code a relevant variable to errors in a script. In the vast majority of cases the errors are detected during the piloting period and are corrected for the final experiment.	frequency	Low
R_3ej0du4jNp47nCF	recurring	The data-related mistakes are often very different: from missing to code a relevant variable to errors in a script. In the vast majority of cases the errors are detected during the piloting period and are corrected for the final experiment.	serious	Minor
R_cI8mWxOvlaSvaSZ	recurring	Coding manual being hard to decipher, or getting lost	frequency	Very Low
R_cI8mWxOvlaSvaSZ	recurring	Coding manual being hard to decipher, or getting lost	serious	Minor
R_2wBKpgElsyjBV0b	recurring	incomplete copying from spreadsheet into another application	frequency	Low
R_2wBKpgElsyjBV0b	recurring	incomplete copying from spreadsheet into another application	serious	Minor
R_RxBYZwBUfiAACBP	recurring	Duplicated a formula from one to another calculation file to keep reporting format constant with an error in the formula!	frequency	Low
R_RxBYZwBUfiAACBP	recurring	Duplicated a formula from one to another calculation file to keep reporting format constant with an error in the formula!	serious	Moderate
R_sKV54jfDQ68Jx05	recurring	Conflated correlation	frequency	Very Low
R_sKV54jfDQ68Jx05	recurring	Conflated correlation	serious	Moderate
R_1g0dAm4HvOZLwXc	recurring	The only identified one is collecting survey data on an online platform where some responses overwrote earlier responses in the same survey. This was with qualtrics, the platform you used, by including several times the same block in the survey flow...	frequency	Very Low
R_1g0dAm4HvOZLwXc	recurring	The only identified one is collecting survey data on an online platform where some responses overwrote earlier responses in the same survey. This was with qualtrics, the platform you used, by including several times the same block in the survey flow...	serious	Insignificant
R_RgJqa1XTk8Aexax	recurring	a missing item in a scale	frequency	Low
R_RgJqa1XTk8Aexax	recurring	a missing item in a scale	serious	Moderate
R_3sb7E8EQLjHDtj6	recurring	data processing error - a dependent variable was incorrectly calculated from raw data	frequency	Very Low
R_3sb7E8EQLjHDtj6	recurring	data processing error - a dependent variable was incorrectly calculated from raw data	serious	Minor
R_1IWT6B2ocVRIEy7	recurring	Plotting	frequency	Very Low
R_1IWT6B2ocVRIEy7	recurring	Plotting	serious	Insignificant
R_30oeLXyDGAJEwhS	recurring	"We collected data on a likert-scale from ""strongly agree= 1 to strongly agree = 7"""	frequency	Very Low
R_30oeLXyDGAJEwhS	recurring	"We collected data on a likert-scale from ""strongly agree= 1 to strongly agree = 7"""	serious	Moderate
R_3KJ9fDQ34vAsAxJ	recurring	Not immediately creating and keeping a good data manual/codebook.	frequency	Low
R_3KJ9fDQ34vAsAxJ	recurring	Not immediately creating and keeping a good data manual/codebook.	serious	Minor
R_2V85hhvhCukcKS9	recurring	Data got lost when changing to new hardware.	frequency	Low
R_2V85hhvhCukcKS9	recurring	Data got lost when changing to new hardware.	serious	Minor
R_3s7iyh922xBWmba	recurring	Data lost	frequency	Very Low
R_3s7iyh922xBWmba	recurring	Data lost	serious	Major
R_2xYjxG2sdLotM8Q	recurring	Mainly old versions substitute new versions of codes of papers.	frequency	Low
R_2xYjxG2sdLotM8Q	recurring	Mainly old versions substitute new versions of codes of papers.	serious	Minor
R_Q6a2dBgrDtQZrcl	recurring	Downloading data from Qualtrics that gets rearranged and difficult to read in the SPSS file. We need to check it manually because mistakes are often made that have impacted analysis.	frequency	Moderate
R_Q6a2dBgrDtQZrcl	recurring	Downloading data from Qualtrics that gets rearranged and difficult to read in the SPSS file. We need to check it manually because mistakes are often made that have impacted analysis.	serious	Minor
R_23eJfXyDulGeJUx	recurring	A student failed to include how some variables were dummy coded, leading another student to make wrong assumptions	frequency	Moderate
R_23eJfXyDulGeJUx	recurring	A student failed to include how some variables were dummy coded, leading another student to make wrong assumptions	serious	Minor
R_OBy6N3n9kcEUbmx	recurring	Working on outdated dataset, realize that a variable was incorrecrly coded after performing statistical analyses...	frequency	Very Low
R_OBy6N3n9kcEUbmx	recurring	Working on outdated dataset, realize that a variable was incorrecrly coded after performing statistical analyses...	serious	Minor
R_2afAwJhFERuWpcR	recurring	Rare, but mismatching participants from two different data collection sessions or two different surveys (e.g., a pre-survey and one during an experimental session).	frequency	Very Low
R_2afAwJhFERuWpcR	recurring	Rare, but mismatching participants from two different data collection sessions or two different surveys (e.g., a pre-survey and one during an experimental session).	serious	Minor
R_25RcV6aMECnyYyF	recurring	Simple entry error.	frequency	Moderate
R_25RcV6aMECnyYyF	recurring	Simple entry error.	serious	Insignificant
R_1C7oJP4CkRa3cdP	recurring	Programming errors in experimental software for treatments.	frequency	Low
R_1C7oJP4CkRa3cdP	recurring	Programming errors in experimental software for treatments.	serious	Moderate
R_yD8d1A59bQGBOut	recurring	Different people wher working on different versions of the same data set to do analyses.	frequency	Low
R_yD8d1A59bQGBOut	recurring	Different people wher working on different versions of the same data set to do analyses.	serious	Moderate
R_R4b2NHauEWrdgcN	recurring	results initially misinterpreted due to lack of clarity in how the scale was coded	frequency	Very Low
R_R4b2NHauEWrdgcN	recurring	results initially misinterpreted due to lack of clarity in how the scale was coded	serious	Minor
R_2vZVaf4kmem95MD	recurring	Data collectors not recording all the information that data forms requested.	frequency	Moderate
R_2vZVaf4kmem95MD	recurring	Data collectors not recording all the information that data forms requested.	serious	Moderate
R_1ojdoHkyRAEhaO9	recurring	Use uninformative variable names	frequency	Moderate
R_1ojdoHkyRAEhaO9	recurring	Use uninformative variable names	serious	Minor
R_1FzFMxxfXX2SLGw	recurring	Confusion about which files - e.g., naming files in correctly, confusion about which files correspond to which condition	frequency	Low
R_1FzFMxxfXX2SLGw	recurring	Confusion about which files - e.g., naming files in correctly, confusion about which files correspond to which condition	serious	Minor
R_1kTbPJmOD0m8h6r	recurring	Copy from worksheets to eCRF	frequency	Low
R_1kTbPJmOD0m8h6r	recurring	Copy from worksheets to eCRF	serious	Minor
R_qITgjpy8nUlimv7	recurring	In a very complex, multi-year, multi-setting project, with large data sets kept in different locations, it became cumbersome and confusing to comprehend and access the relevant data for particular analyses.	frequency	Low
R_qITgjpy8nUlimv7	recurring	In a very complex, multi-year, multi-setting project, with large data sets kept in different locations, it became cumbersome and confusing to comprehend and access the relevant data for particular analyses.	serious	Moderate
R_2ONZImZtC8mhCrA	recurring	data being incorrectly copied from one database to another	frequency	Low
R_2ONZImZtC8mhCrA	recurring	data being incorrectly copied from one database to another	serious	Minor
R_2agYT2RkPZaarIL	recurring	Occasional mis-transcriptions (of language data), but we double-check on these when we check reliability	frequency	Very Low
R_2agYT2RkPZaarIL	recurring	Occasional mis-transcriptions (of language data), but we double-check on these when we check reliability	serious	Minor
R_33lN4aBOD0tfqwg	recurring	Tracking status of participants (i.e., lost to follow up vs. declined to continue)	frequency	Low
R_33lN4aBOD0tfqwg	recurring	Tracking status of participants (i.e., lost to follow up vs. declined to continue)	serious	Minor
R_2RVBEeR4DZhBco5	recurring	I recoded the items wrong	frequency	Very Low
R_2RVBEeR4DZhBco5	recurring	I recoded the items wrong	serious	Minor
