response_id	outcome	outcome_no	outcome_sep	maximum_response_one_outcome	type	group_outcome	code_outcome
R_06DkavezrMGKffj	time loss	1	time loss	yes	recurring	time loss	time loss
R_0i9ZGQEYBdbMe1r	time loss	1	time loss	yes	recurring	time loss	time loss
R_0i9ZGQEYBdbMe1r	time loss	1	time loss	yes	serious	time loss	time loss
R_0ibVXbAiuoWoMWR	financial loss, time loss, and frustration	1	financial loss	no	recurring	financial lost	financial loss
R_0ibVXbAiuoWoMWR	financial loss, time loss, and frustration	2	time loss	no	recurring	time loss	time loss
R_0ibVXbAiuoWoMWR	financial loss, time loss, and frustration	3	frustration	no	recurring	frustration	frustration
R_0Jku2nGizREQbhn	time loss	1	time loss	yes	recurring	time loss	time loss
R_0Jku2nGizREQbhn	frustration	1	frustration	yes	serious	frustration	frustration
R_0rFImCR89hEJax3	frustration	1	frustration	yes	recurring	frustration	frustration
R_0rFImCR89hEJax3	frustration	1	frustration	yes	serious	frustration	frustration
R_10H7jaE3hqPEC59	erroneous conclusion	1	erroneous conclusion	yes	serious	erroneous conclusion	erroneous conclusion
R_10uWnIrva7R5dgS	time loss	1	time loss	yes	recurring	time loss	time loss
R_10uWnIrva7R5dgS	time loss, frustration	1	time loss	no	serious	time loss	time loss
R_10uWnIrva7R5dgS	time loss, frustration	2	frustration	no	serious	frustration	frustration
R_1163fpcUwH7iUdJ	time loss	1	time loss	yes	recurring	time loss	time loss
R_1163fpcUwH7iUdJ	time loss	1	time loss	yes	serious	time loss	time loss
R_11gukLDI1B8MFre	frustration	1	frustration	yes	serious	frustration	frustration
R_12kZ5E4TIFs2wbK	frustration	1	frustration	yes	recurring	frustration	frustration
R_12kZ5E4TIFs2wbK	erroneous conclusion	1	erroneous conclusion	yes	serious	erroneous conclusion	erroneous conclusion
R_12tYv2Y5nec53EF	time loss	1	time loss	yes	recurring	time loss	time loss
R_12tYv2Y5nec53EF	time loss	1	time loss	yes	serious	time loss	time loss
R_1C7oJP4CkRa3cdP	financial loss	1	financial loss	yes	recurring	financial lost	financial loss
R_1C7oJP4CkRa3cdP	financial loss	1	financial loss	yes	serious	financial lost	financial loss
R_1C8fB8CBFHe5SbN	time loss	1	time loss	yes	recurring	time loss	time loss
R_1C9qNC1dUt7ZiSE	frustration	1	frustration	yes	recurring	frustration	frustration
R_1CKGCablLVpWzNT	INABILITY TO COMPLETE ANALYSIS OF LONGITUDINAL DATA	1	INABILITY TO COMPLETE ANALYSIS OF LONGITUDINAL DATA	yes	recurring	potential or real project failure or setback	inability to complete the analysis
R_1cZWGJtCZKD1ew4	duplication of effort - potential for erroneous conclusions	1	duplication of effort	no	recurring	time loss	double effort
R_1cZWGJtCZKD1ew4	duplication of effort	1	duplication of effort	yes	serious	time loss	double effort
