response_id	mistake	mistake_no	mistake_sep	maximum_response_one_type	type	group_type	code_type
R_06DkavezrMGKffj	Unclear variable names and labels	1	Unclear variable names and labels	yes	recurring	ambiguous naming/defining of data	ambiguous variable naming
R_0i9ZGQEYBdbMe1r	the data in o'tree come up in a spread sheet that is neither a long format neither a wide format, therefore to do the analyses I have to restructure the data, however, standard restructure procedure in R and spss are not useful because they go from wide to  long formats or from long to wide formats, therefore I did it by hand, and this created some mistakes in statistical analyses which was immediately diagnosed and corrected but took some extra time.	1	the data in o'tree come up in a spread sheet that is neither a long format neither a wide format, therefore to do the analyses I have to restructure the data, however, standard restructure procedure in R and spss are not useful because they go from wide to  long formats or from long to wide formats, therefore I did it by hand, and this created some mistakes in statistical analyses which was immediately diagnosed and corrected but took some extra time.	yes	recurring	wrong data processing/analysis	mistake in restructuring the data
R_0Jku2nGizREQbhn	Confusing variable labels	1	Confusing variable labels	yes	recurring	ambiguous naming/defining of data	ambiguous variable naming
R_0Jku2nGizREQbhn	Computer not recording data diluting data collection	1	Computer not recording data diluting data collection	yes	serious	technical/infrastructural problem	technical issue with computer in recording
R_10uWnIrva7R5dgS	We applied the wrong precedence when resolving values for one variable which could be specified more than once.	1	We applied the wrong precedence when resolving values for one variable which could be specified more than once.	yes	recurring	deviation from the protocol	not following coding protocol
R_10uWnIrva7R5dgS	Due to different ways of writing and reading data from a database system, it was possible that crucial information would be interpreted in a wrong way.	1	Due to different ways of writing and reading data from a database system, it was possible that crucial information would be interpreted in a wrong way.	yes	serious	wrong data processing/analysis	not consistent database handling
R_1163fpcUwH7iUdJ	sloppy file naming which made very hard to identify the subjects later	1	sloppy file naming which made very hard to identify the subjects later	yes	recurring	ambiguous naming/defining of data	non-transparent labeling of datafiles
R_1163fpcUwH7iUdJ	no serious mistakes (the reason is, I'm actually the one in my institude who is responsible for cleaning all datasets, and my approval is necessary before any manuscript based on a given dataset is submitted for publication). However, mixing up subjects and biased matching of different data of the same subject is an everyday matter	1	no serious mistakes (the reason is, I'm actually the one in my institude who is responsible for cleaning all datasets, and my approval is necessary before any manuscript based on a given dataset is submitted for publication). However, mixing up subjects	no	serious	participant allocation error	mixing up participants
R_1163fpcUwH7iUdJ	no serious mistakes (the reason is, I'm actually the one in my institude who is responsible for cleaning all datasets, and my approval is necessary before any manuscript based on a given dataset is submitted for publication). However, mixing up subjects and biased matching of different data of the same subject is an everyday matter	2	biased matching of different data of the same subject is an everyday matter	no	serious	bad connection of data points	mistake in connecting participant to responses
R_11gukLDI1B8MFre	Subject ID was incorrectly typed from one data file to a second file.	1	Subject ID was incorrectly typed from one data file to a second file.	yes	recurring	data input error	typo
R_12tYv2Y5nec53EF	Poor variable and file naming. Never led to any loss except in time backtracking and working out what the variables/files refer to.	1	Poor variable and file naming. Never led to any loss except in time backtracking and working out what the variables/files refer to.	yes	recurring	ambiguous naming/defining of data	ambiguous variable naming
R_12tYv2Y5nec53EF	RA getting conditions mixed up. Had to exclude any data the RA collected as we were not confident it was correct.	1	RA getting conditions mixed up. Had to exclude any data the RA collected as we were not confident it was correct.	yes	serious	participant allocation error	mixing up conditions
R_1C7oJP4CkRa3cdP	Programming errors in experimental software for treatments.	1	Programming errors in experimental software for treatments.	yes	recurring	programming error	mistake in programming the data collection code, mixing up conditions
R_1C7oJP4CkRa3cdP	Programming errors	1	Programming errors	yes	serious	programming error	program coding error
R_1C8fB8CBFHe5SbN	Program unexpectedly deleted cases automatically, but this was detected and corrected.	1	Program unexpectedly deleted cases automatically, but this was detected and corrected.	yes	recurring	technical/infrastructural problem	software failure
R_1C9qNC1dUt7ZiSE	Uninformative variable names	1	Uninformative variable names	yes	recurring	ambiguous naming/defining of data	non-transparent variable naming
R_1CKGCablLVpWzNT	FAILURE TO BACK-UP DATA FILES AND RELATED SYNTAX	1	FAILURE TO BACK-UP DATA FILES AND RELATED SYNTAX	yes	recurring	loss of materials/documentation/data	failure to backup
R_1cZWGJtCZKD1ew4	Mismatching due to incorrect SQL queries	1	Mismatching due to incorrect SQL queries	yes	recurring	programming error	program coding error
R_1cZWGJtCZKD1ew4	Mismatch of longitudinal data - attribution of later values to the wrong people.	1	Mismatch of longitudinal data - attribution of later values to the wrong people.	yes	serious	bad connection of data points	mixing up subjects, failure to connect data to participant
R_1d4iz3m2nqcDwm0	Incorrect data entries	1	Incorrect data entries	yes	recurring	data input error	data entry error
R_1d4iz3m2nqcDwm0	incorrect data entry	1	incorrect data entry	yes	serious	data input error	data entry error
R_1ditQMNo8bzXokM	Insufficient annotation in data files to easily revisit the data in the future when the project is out of mind.	1	Insufficient annotation in data files to easily revisit the data in the future when the project is out of mind.	yes	recurring	ambiguous naming/defining of data	non-transparent variable naming
