response_id	general_frequency	recurring_story	recurring_cause	recurring_frequency	recurring_serious	recurring_outcome	serious_story	serious_cause	serious_serious	serious_outcome	field	years
R_202sfhbxfEwDsEV	Very Low	NA	NA	Very Low	Minor	time loss	NA	NA	Minor	time loss	other	30
R_3kBPKtkLfMFdp7R	Low	Transcription errors going from paper to computer	Human error	Low	Minor	Assuming random errors, probably not erroneous conclusions	In some cases, the field assistants neglected to record some of the data.	Negligence	Minor	frustration	other	11
R_1rrxPxsFGkflPpx	Low	failing to add informative meta-data	time pressure, laziness, failing to empathize with the next user who's unfamiliar with the data	Low	Minor	little re-use	don't remember	don't remember	Insignificant	don't remember	other	30
R_12bhBKmNyRkrtgz	Moderate	NA	Human error	Low	Moderate	NA	NA	NA	NA	NA	other	15
R_8pOKqiOkWWJ7MMF	Low	Nothing in the past 5 years, but prior to that I have lost data due to computer crashes. I have also lost data when moving University.	Computer malfunction in one case and not sure what happened in the other as several old 'floppy disks' seemed to disappear..	Very Low	Minor	Was not overly problematic and this related to old data that was already published	NA	NA	NA	NA	experimental and cognitive psychology	25
R_DuXE6py2mbqw7qV	Low	Wrong analysis	User error or inexperience	Low	Minor	time loss	Wrong data used in part of a figure	Haste	Minor	frustration	other	20
R_1cZWGJtCZKD1ew4	Very Low	Mismatching due to incorrect SQL queries	incorrect SQL queries	Very Low	Major	duplication of effort - potential for erroneous conclusions	Mismatch of longitudinal data - attribution of later values to the wrong people.	Incorrect SQL queries, failure of care by relevant staff	Major	duplication of effort	methodology and statistics	30
R_2Qy5UUJfVHXoWZV	Low	We have used the old dataset or have deleted important data from the database	lack of proper attention and difficulties in management of numerous SPSS data files	Low	Minor	time loss	We have combined a large dataset but erroneously deleted a number of  important variables	The lack of proper consideration, reluctance to manage large datasets, some difficulty with combining SPSS files	Minor	time loss	personality psychology	28
R_3dMrKvR94hccB6c	Low	Not well documented data recording, recording not according to protocol.	Problems with training the experimenter.	Low	Moderate	financial and time loss	One experimenter performed data collection not according to the protocol, which was detected after several weeks and which led to uninterpretable data in almost half of the hitherto recorded subjects.	Experimenter was too confident...	Moderate	financial and time loss	neurophysiology and physiological psychology	15
R_25AfsUG4wphIkYO	Low	Non-transparent labelling of datafiles	Failure to use sufficient foresight to anticipate the difficulty of interpreting the datafiles after the fact (or the likely need to do this).	Moderate	Minor	time loss	Not actually my team, but in a collaboration I have been involved in a coding error led to an experiment having to be re-run.	The code for the experiment had been edited from the code used in a previous study, and an oversight in how this should be adapted for the new experiment meant that some participant responses that should not have been possible were occurring frequently.	Moderate	time loss	experimental and cognitive psychology	20
R_3HOJBmqA8Qj5Vik	Low	Some subject did not respond to all queries and we had no checks in place to prevent this	Less than optimal procedure	Low	Insignificant	Unnecessary data loss	NA	NA	NA	NA	other	15
R_RLJj4PkFNDEdYit	Very Low	Wrong coding of missing data	Being in a hurry	Very Low	Minor	time loss	Same as above	Same as above	Minor	time loss	neurophysiology and physiological psychology	20
R_xa49SUkv3DKQme5	Low	Coding errors in experimental paradigms preventing parts of the data from being sampled.	Coding errors and usually lack of pilot testing.	Low	Moderate	time loss	Coding error prevented data collection from an important variable for a whole experiment with 50 participants. The data had to be discarded.	A coding error.	Moderate	time loss	experimental and cognitive psychology	16
