publicationname	subfield
Accounting, Organizations and Society	applied
Acta Psychologica	experimental
Acta Psychologica	neuropsychology
Acta Psychologica	social
Addictive Behaviors	clinical
Addictive Behaviors Reports	clinical
Advances in Life Course Research	general
Aggression and Violent Behavior	clinical
Aggression and Violent Behavior	social
Alcoholism and Drug Addiction	clinical
Alcoholism and Drug Addiction	social
Appetite	neuropsychology
Archives of Psychiatric Nursing	general
Asian Journal of Psychiatry	general
Behavior Therapy	clinical
Behaviour Research and Therapy	clinical
Biological Psychology	experimental
Biological Psychology	neuropsychology
Biologically Inspired Cognitive Architectures	experimental
Body Image	clinical
Brain and Cognition	experimental
Brain and Cognition	neuropsychology
Brain and Language	experimental
Brain and Language	neuropsychology
Brain, Behavior, and Immunity	experimental
Burnout Research	general
Child Abuse & Neglect	clinical
Child Abuse & Neglect	developemental
Child Abuse & Neglect	social
Children and Youth Services Review	developemental
Children and Youth Services Review	social
Clinical Psychology Review	clinical
Cognition	experimental
Cognition	neuropsychology
Cognitive and Behavioral Practice	clinical
Cognitive Development	developemental
Cognitive Development	experimental
Cognitive Development	social
Cognitive Psychology	developemental
Cognitive Psychology	experimental
Cognitive Psychology	neuropsychology
Cognitive Psychology	social
Cognitive Systems Research	experimental
Comprehensive Psychiatry	general
Computer Speech & Language	experimental
Computers in Human Behavior	developemental
Computers in Human Behavior	experimental
Consciousness and Cognition	experimental
Consciousness and Cognition	neuropsychology
Contemporary Educational Psychology	applied
Contemporary Educational Psychology	developemental
Cortex	neuropsychology
Current Opinion in Psychology	applied
Current Opinion in Psychology	clinical
Current Opinion in Psychology	social
Developmental Review	developemental
Developmental Review	experimental
Douleurs : Evaluation - Diagnostic - Traitement	clinical
Early Childhood Research Quarterly	applied
Early Childhood Research Quarterly	developemental
Eating Behaviors	clinical
Educational Research Review	developemental
Emotion, Space and Society	social
European Journal of Education and Psychology	general
European Journal of Pain	clinical
European Journal of Pain	neuropsychology
European Journal of Pain Supplements	clinical
European Journal of Pain Supplements	neuropsychology
European Neuropsychopharmacology	general
Evaluation and Program Planning	general
Evaluation and Program Planning	social
Evolution and Human Behavior	neuropsychology
Evolution and Human Behavior	social
Geriatric Mental Health Care	clinical
Heliyon	general
Hormones and Behavior	general
Human Movement Science	experimental
Human Movement Science	neuropsychology
Human Resource Management Review	applied
Infant Behavior and Development	developemental
Intelligence	experimental
Intelligence	social
International Journal of Child-Computer Interaction	developemental
International Journal of Child-Computer Interaction	experimental
International Journal of Child-Computer Interaction	general
International Journal of Clinical and Health Psychology	applied
International Journal of Clinical and Health Psychology	clinical
International Journal of Human-Computer Studies	experimental
International Journal of Intercultural Relations	social
International Journal of Law and Psychiatry	applied
International Journal of Law and Psychiatry	clinical
International Journal of Law and Psychiatry	social
International Journal of Psychophysiology	experimental
International Journal of Psychophysiology	neuropsychology
International Journal of Research in Marketing	applied
International Medical Review on Down Syndrome	developemental
Journal of Adolescence	applied
Journal of Adolescence	developemental
Journal of Adolescence	experimental
Journal of Adolescence	social
Journal of Anxiety Disorders	clinical
Journal of Applied Developmental Psychology	applied
Journal of Applied Developmental Psychology	developemental
Journal of Applied Research in Memory and Cognition	applied
Journal of Applied Research in Memory and Cognition	experimental
Journal of Behavior Therapy and Experimental Psychiatry	clinical
Journal of Behavior, Health & Social Issues	applied
Journal of Behavior, Health & Social Issues	clinical
Journal of Behavior, Health & Social Issues	developemental
Journal of Behavioral and Experimental Economics	applied
Journal of Behavioral and Experimental Finance	experimental
Journal of Behavioral and Experimental Finance	social
Journal of Communication Disorders	clinical
Journal of Communication Disorders	experimental
Journal of Consumer Psychology	applied
Journal of Contextual Behavioral Science	clinical
Journal of Contextual Behavioral Science	social
Journal of Criminal Justice	applied
Journal of Criminal Justice	social
Journal of Economic Behavior & Organization	applied
Journal of Economic Psychology	applied
Journal of Environmental Psychology	applied
Journal of Environmental Psychology	experimental
Journal of Experimental Child Psychology	developemental
Journal of Experimental Child Psychology	experimental
Journal of Experimental Child Psychology	social
Journal of Experimental Social Psychology	social
Journal of Fluency Disorders	clinical
Journal of Fluency Disorders	experimental
Journal of Forensic and Legal Medicine	applied
Journal of Forensic and Legal Medicine	social
Journal of Interactive Marketing	applied
Journal of Mathematical Psychology	experimental
Journal of Mathematical Psychology	general
Journal of Memory and Language	experimental
Journal of Memory and Language	neuropsychology
Journal of Neurolinguistics	clinical
Journal of Neurolinguistics	experimental
Journal of Neurolinguistics	neuropsychology
Journal of Nutrition Education and Behavior	clinical
Journal of Nutrition Education and Behavior	developemental
Journal of Obsessive-Compulsive and Related Disorders	clinical
Journal of Pragmatics	experimental
Journal of Psychiatric Research	general
Journal of Psychosomatic Research	social
Journal of Research in Personality	social
Journal of Retailing	applied
Journal of School Psychology	applied
Journal of School Psychology	developemental
Journal of Substance Abuse Treatment	general
Journal of the American Academy of Child & Adolescent Psychiatry	general
Journal of Vocational Behavior	applied
Journal of Vocational Behavior	developemental
Kasetsart Journal of Social Sciences	applied
Language & Communication	experimental
Language & Communication	social
Learning and Individual Differences	developemental
Learning and Instruction	developemental
Learning and Instruction	social
Learning and Motivation	developemental
Learning and Motivation	experimental
Learning and Motivation	neuropsychology
Learning, Culture and Social Interaction	developemental
Learning, Culture and Social Interaction	social
Lingua	experimental
Mental Health & Prevention	general
Mental Health and Physical Activity	clinical
Mental Health and Physical Activity	neuropsychology
Mindfulness & Compassion	applied
Mindfulness & Compassion	developemental
Mindfulness & Compassion	experimental
Neurobiology of Aging	general
Neurobiology of Learning and Memory	experimental
Neuropsychiatrie de l'Enfance et de l'Adolescence	neuropsychology
Neuropsychologia	neuropsychology
Neuroscience & Biobehavioral Reviews	experimental
Neuroscience & Biobehavioral Reviews	neuropsychology
Neurotherapeutics	neuropsychology
New Ideas in Psychology	developemental
New Ideas in Psychology	general
New Scientist	general
Organizational Behavior and Human Decision Processes	applied
Organizational Behavior and Human Decision Processes	social
Organizational Dynamics	applied
Performance Enhancement & Health	applied
Personality and Individual Differences	applied
Personality and Individual Differences	social
Perspectives in Medicine	general
Pratiques Psychologiques	applied
Pratiques Psychologiques	clinical
Psychiatry Research	general
Psychiatry Research: Neuroimaging	general
Psychologie du Travail et des Organisations	applied
Psychologie du Travail et des Organisations	social
Psychology of Sport and Exercise	applied
Psychology of Sport and Exercise	neuropsychology
Psychoneuroendocrinology	general
Psychosocial Intervention	applied
Psychosomatics	general
Quaderni Italiani di Psichiatria	general
Research in Autism Spectrum Disorders	clinical
Research in Autism Spectrum Disorders	developemental
Research in Developmental Disabilities	clinical
Research in Developmental Disabilities	developemental
Research in Organizational Behavior	applied
Revista Mexicana de Trastornos Alimentarios	general
Scandinavian Journal of Management	applied
Schizophrenia Research	general
Seizure	general
Sexologies	general
Sleep Health	clinical
Social Science & Medicine	social
Social Science Research	social
Speech Communication	experimental
Technological Forecasting and Social Change	applied
The Arts in Psychotherapy	clinical
The European Journal of Psychology Applied to Legal Context	general
The Journal of Mathematical Behavior	applied
The Lancet Psychiatry	clinical
The Leadership Quarterly	applied
The Social Science Journal	social
Thinking Skills and Creativity	developemental
Transportation Research Part F: Traffic Psychology and Behaviour	applied
Trastornos Adictivos	general
Trends in Cognitive Sciences	experimental
Trends in Ecology & Evolution	experimental
