response_id	cause_type	cause	cause_no	cause_sep	code	n	group
R_06DkavezrMGKffj	recurring	Lack of attention to details	1	Lack of attention to details	inattention	31	inattention
R_06DkavezrMGKffj	serious	NA	1	missing	missing	183	missing
R_0i9ZGQEYBdbMe1r	recurring	see above	1	see above	see above	37	see above
R_0i9ZGQEYBdbMe1r	serious	see above	1	see above	see above	37	see above
R_0ibVXbAiuoWoMWR	recurring	Not catching these individuals.	1	Not catching these individuals.	insufficient information	59	insufficient information
R_0ibVXbAiuoWoMWR	serious	NA	1	missing	missing	183	missing
R_0Jku2nGizREQbhn	recurring	Te	1	Te	irrelevant content	38	irrelevant content
R_0Jku2nGizREQbhn	serious	Programing error	1	Programing error	programming error	16	"NA"
R_0rFImCR89hEJax3	recurring	NA	1	missing	missing	183	missing
R_0rFImCR89hEJax3	serious	NA	1	missing	missing	183	missing
R_10H7jaE3hqPEC59	recurring	NA	1	missing	missing	183	missing
R_10H7jaE3hqPEC59	serious	NA	1	missing	missing	183	missing
R_10uWnIrva7R5dgS	recurring	Missing insights into the data retrieval process which changed over time depending on legal setting (using historical data)	1	Missing insights into the data retrieval process which changed over time depending on legal setting (using historical data)	insufficient information	59	insufficient information
R_10uWnIrva7R5dgS	serious	Lacking knowledge of the database system and poor UI design for the data capture part which was designed by a different team years before the actual analysis.	1	Lacking knowledge of the database system and poor UI design for the data capture part which was designed by a different team years before the actual analysis.	lack of knowledge	4	lack of knowledge/experience
R_1163fpcUwH7iUdJ	recurring	People most likely thought they will remember (or did not even consider that there could multiple subjects with the same first name (nickname)	1	People most likely thought they will remember (or did not even consider that there could multiple subjects with the same first name (nickname)	lack of documentation	5	"NA"
R_1163fpcUwH7iUdJ	serious	Most people in my group don't take this part of data recording seriously. While they are very careful when preparing for an upcoming experiment, they are much less mindful with naming and storing the data they just recorded...	1	Most people in my group don't take this part of data recording seriously. While they are very careful when preparing for an upcoming experiment, they are much less mindful with naming and storing the data they just recorded...	not taking the task seriously	1	carelessness
R_11gukLDI1B8MFre	recurring	Human error.	1	Human error.	human error	54	"NA"
R_11gukLDI1B8MFre	serious	Human error.	1	Human error.	human error	54	"NA"
R_12bhBKmNyRkrtgz	recurring	Human error	1	Human error	human error	54	"NA"
R_12bhBKmNyRkrtgz	serious	NA	1	missing	missing	183	missing
R_12kZ5E4TIFs2wbK	recurring	A chronic problem is that I haven't yet developed a good data management plan (or even a bad data management plan) so it is often more difficult than it should be to remember which data set is which.	1	A chronic problem is that I haven't yet developed a good data management plan (or even a bad data management plan) so it is often more difficult than it should be to remember which data set is which.	lack of data management plan	4	bad or lack of standards
R_12kZ5E4TIFs2wbK	serious	Not sure.	1	Not sure.	unknown	10	"NA"
R_12ovEFWl7OzSTn7	recurring	NA	1	missing	missing	183	missing
R_12ovEFWl7OzSTn7	serious	NA	1	missing	missing	183	missing
R_12tYv2Y5nec53EF	recurring	Poor planning essentially. Not thinking to name variables/files in a sufficiently transparent way.	1	Poor planning essentially. Not thinking to name variables/files in a sufficiently transparent way.	insufficient planning	6	bad or lack of planning
R_12tYv2Y5nec53EF	serious	RA wasn't up to the job - most likely my mistake in not spending long enough re-iterating the conditions.	1	RA wasn't up to the job - most likely my mistake in not spending long enough re-iterating the conditions.	insufficient training	6	bad skill management
R_1C7oJP4CkRa3cdP	recurring	Not enough testing.	1	Not enough testing.	not enough testing	1	"NA"
R_1C7oJP4CkRa3cdP	serious	Insufficient testing	1	Insufficient testing	insufficient testing	6	"NA"
R_1C8fB8CBFHe5SbN	recurring	Statistical package	1	Statistical package	insufficient information	59	insufficient information
