response_id	mistake_type	mistake	mistake_no	mistake_sep	code	n	group
R_06DkavezrMGKffj	recurring	Unclear variable names and labels	1	Unclear variable names and labels	ambiguous variable naming	40	ambiguous naming/defining of data
R_06DkavezrMGKffj	serious	There were no serious data-related mistakes in the last 5 years.	1	There were no serious data-related mistakes in the last 5 years.	out of timeframe	15	out of timeframe
R_0i9ZGQEYBdbMe1r	recurring	the data in o'tree come up in a spread sheet that is neither a long format neither a wide format, therefore to do the analyses I have to restructure the data, however, standard restructure procedure in R and spss are not useful because they go from wide to  long formats or from long to wide formats, therefore I did it by hand, and this created some mistakes in statistical analyses which was immediately diagnosed and corrected but took some extra time.	1	the data in o'tree come up in a spread sheet that is neither a long format neither a wide format, therefore to do the analyses I have to restructure the data, however, standard restructure procedure in R and spss are not useful because they go from wide to  long formats or from long to wide formats, therefore I did it by hand, and this created some mistakes in statistical analyses which was immediately diagnosed and corrected but took some extra time.	mistake in restructuring the data	1	wrong data processing/analysis
R_0i9ZGQEYBdbMe1r	serious	see above	1	see above	see above	40	see above
R_0ibVXbAiuoWoMWR	recurring	I don't use labs, so the most concerning issue for me is when people 'game' MTurk and it can be hard to tell if the data from one individual is used multiple times (they take the survey more than once).	1	I don't use labs, so the most concerning issue for me is when people 'game' MTurk and it can be hard to tell if the data from one individual is used multiple times (they take the survey more than once).	insufficient information	30	insufficient information
R_0ibVXbAiuoWoMWR	serious	None that I can think of.	1	None that I can think of.	irrelevant content	84	irrelevant content
R_0Jku2nGizREQbhn	recurring	Confusing variable labels	1	Confusing variable labels	ambiguous variable naming	40	ambiguous naming/defining of data
R_0Jku2nGizREQbhn	serious	Computer not recording data diluting data collection	1	Computer not recording data diluting data collection	technical issue with computer in recording	1	technical/infrastructural problem
R_0rFImCR89hEJax3	recurring	NA	1	missing	missing	125	missing
R_0rFImCR89hEJax3	serious	NA	1	missing	missing	125	missing
R_10H7jaE3hqPEC59	recurring	Sorry, cannot remember any	1	Sorry, cannot remember any	irrelevant content	84	irrelevant content
R_10H7jaE3hqPEC59	serious	None. But I have experience of errors earlier. Once a doctoral student made a transformation of data wrong which resulted in presenting wrong results at a minor conference	1	None. But I have experience of errors earlier. Once a doctoral student made a transformation of data wrong which resulted in presenting wrong results at a minor conference	out of timeframe	15	out of timeframe
R_10uWnIrva7R5dgS	recurring	We applied the wrong precedence when resolving values for one variable which could be specified more than once.	1	We applied the wrong precedence when resolving values for one variable which could be specified more than once.	not following coding protocol	1	deviation from the protocol
R_10uWnIrva7R5dgS	serious	Due to different ways of writing and reading data from a database system, it was possible that crucial information would be interpreted in a wrong way.	1	Due to different ways of writing and reading data from a database system, it was possible that crucial information would be interpreted in a wrong way.	not consistent database handling	1	wrong data processing/analysis
R_1163fpcUwH7iUdJ	recurring	sloppy file naming which made very hard to identify the subjects later	1	sloppy file naming which made very hard to identify the subjects later	non-transparent labeling of datafiles	2	ambiguous naming/defining of data
R_1163fpcUwH7iUdJ	serious	no serious mistakes (the reason is, I'm actually the one in my institude who is responsible for cleaning all datasets, and my approval is necessary before any manuscript based on a given dataset is submitted for publication). However, mixing up subjects and biased matching of different data of the same subject is an everyday matter	1	no serious mistakes (the reason is, I'm actually the one in my institude who is responsible for cleaning all datasets, and my approval is necessary before any manuscript based on a given dataset is submitted for publication). However, mixing up subjects	mixing up participants	3	participant allocation error
R_1163fpcUwH7iUdJ	serious	no serious mistakes (the reason is, I'm actually the one in my institude who is responsible for cleaning all datasets, and my approval is necessary before any manuscript based on a given dataset is submitted for publication). However, mixing up subjects and biased matching of different data of the same subject is an everyday matter	2	biased matching of different data of the same subject is an everyday matter	mistake in connecting participant to responses	1	bad connection of data points
R_11gukLDI1B8MFre	recurring	Subject ID was incorrectly typed from one data file to a second file.	1	Subject ID was incorrectly typed from one data file to a second file.	typo	5	data input error
R_11gukLDI1B8MFre	serious	See above (the ID issue).	1	See above (the ID issue).	see above	40	see above
R_12bhBKmNyRkrtgz	recurring	NA	1	missing	missing	125	missing
R_12bhBKmNyRkrtgz	serious	NA	1	missing	missing	125	missing
R_12kZ5E4TIFs2wbK	recurring	Hard to say.  One common problem is difficulty sorting out which data set corresponds to which project, or finding the data set that corresponds to a particular project.	1	Hard to say.  One common problem is difficulty sorting out which data set corresponds to which project, or finding the data set that corresponds to a particular project.	non-transparent labeling of datafiles	2	ambiguous naming/defining of data
R_12kZ5E4TIFs2wbK	serious	In a recent collaboration that involved a replication I realized that we were analyzing the wrong DV (i.e., the original article conditionalized in a sensible way but we were not). That dramatically changed the story.  Fortunately that was caught fairly early.	1	In a recent collaboration that involved a replication I realized that we were analyzing the wrong DV (i.e., the original article conditionalized in a sensible way but we were not). That dramatically changed the story.  Fortunately that was caught fairly early.	analyzing the wrong variable	2	data selection/merging error
R_12ovEFWl7OzSTn7	recurring	NA	1	missing	missing	125	missing
R_12ovEFWl7OzSTn7	serious	NA	1	missing	missing	125	missing
R_12tYv2Y5nec53EF	recurring	Poor variable and file naming. Never led to any loss except in time backtracking and working out what the variables/files refer to.	1	Poor variable and file naming. Never led to any loss except in time backtracking and working out what the variables/files refer to.	ambiguous variable naming	40	ambiguous naming/defining of data
R_12tYv2Y5nec53EF	serious	RA getting conditions mixed up. Had to exclude any data the RA collected as we were not confident it was correct.	1	RA getting conditions mixed up. Had to exclude any data the RA collected as we were not confident it was correct.	mixing up conditions	5	participant allocation error
R_1C7oJP4CkRa3cdP	recurring	Programming errors in experimental software for treatments.	1	Programming errors in experimental software for treatments.	mistake in programming the data collection code, mixing up conditions	2	programming error
R_1C7oJP4CkRa3cdP	serious	Programming errors	1	Programming errors	program coding error	41	programming error
R_1C8fB8CBFHe5SbN	recurring	Program unexpectedly deleted cases automatically, but this was detected and corrected.	1	Program unexpectedly deleted cases automatically, but this was detected and corrected.	software failure	8	technical/infrastructural problem
R_1C8fB8CBFHe5SbN	serious	We are not aware of any serious mistake that was not found and corrected. Note: we usually use designs that do not require sophisticated data treatments.	1	We are not aware of any serious mistake that was not found and corrected. Note: we usually use designs that do not require sophisticated data treatments.	irrelevant content	84	irrelevant content
R_1C9qNC1dUt7ZiSE	recurring	Uninformative variable names	1	Uninformative variable names	non-transparent variable naming	6	ambiguous naming/defining of data
R_1C9qNC1dUt7ZiSE	serious	NA	1	missing	missing	125	missing
R_1CKGCablLVpWzNT	recurring	FAILURE TO BACK-UP DATA FILES AND RELATED SYNTAX	1	FAILURE TO BACK-UP DATA FILES AND RELATED SYNTAX	failure to backup	7	loss of materials/documentation/data
R_1CKGCablLVpWzNT	serious	SEEMS TO BE THE SAME QUESTION AS ABOVE.  I LOVE IT WHEN THERE IS A MISTAKE IN A SURVEY ON MISTAKES!	1	SEEMS TO BE THE SAME QUESTION AS ABOVE.  I LOVE IT WHEN THERE IS A MISTAKE IN A SURVEY ON MISTAKES!	irrelevant content	84	irrelevant content
R_1cZWGJtCZKD1ew4	recurring	Mismatching due to incorrect SQL queries	1	Mismatching due to incorrect SQL queries	program coding error	41	programming error
R_1cZWGJtCZKD1ew4	serious	Mismatch of longitudinal data - attribution of later values to the wrong people.	1	Mismatch of longitudinal data - attribution of later values to the wrong people.	mixing up subjects, failure to connect data to participant	2	bad connection of data points
R_1d4iz3m2nqcDwm0	recurring	Incorrect data entries	1	Incorrect data entries	data entry error	26	data input error
R_1d4iz3m2nqcDwm0	serious	incorrect data entry	1	incorrect data entry	data entry error	26	data input error
R_1ditQMNo8bzXokM	recurring	Insufficient annotation in data files to easily revisit the data in the future when the project is out of mind.	1	Insufficient annotation in data files to easily revisit the data in the future when the project is out of mind.	non-transparent variable naming	6	ambiguous naming/defining of data
R_1ditQMNo8bzXokM	serious	Published a supplemental online file alongside an article that was incomplete (claimed to report all possible interactions among a set of variables, but erroneously excluded ~11% of them).	1	Published a supplemental online file alongside an article that was incomplete (claimed to report all possible interactions among a set of variables, but erroneously excluded ~11% of them).	publishing incomplete results	1	wrong reporting
R_1dLyeBiPezAXaav	recurring	Computer generated data contained bad data because of programming error.	1	Computer generated data contained bad data because of programming error.	program coding error	41	programming error
R_1dLyeBiPezAXaav	serious	Had to rerun analyses because the generated data were incorrect (Monte Carlo studies).	1	Had to rerun analyses because the generated data were incorrect (Monte Carlo studies).	incorrect generated data	1	programming error
