StartDate	EndDate	Status	Progress	Duration (in seconds)	Finished	RecordedDate	ResponseId	DistributionChannel	UserLanguage	inform	general_frequency	recurring_story	recurring_cause	recurring_frequency	recurring_serious	recurring_outcome	recurring_outcome_6_TEXT	serious_story	serious_cause	serious_serious	serious_outcome	serious_outcome_6_TEXT	field	years	comment
Start Date	End Date	Response Type	Progress	Duration (in seconds)	Finished	Recorded Date	Response ID	Distribution Channel	User Language	Dear Researcher,   In this study, we would like to ask a few questions from you to examine the nature, frequency, and impact of data management mistakes in psychological research.   We value your time so we tried to make this survey as short as possible.  Completing the survey takes on average 5  minutes.     We save the responses anonymously as the survey does not collect any personal information of the respondents.     Are you willing to participate in the survey and agree to share your responses anonymously with other researchers?By completing this survey, you support our donation of 0.20 USD to the Center of Open Science.      This research is led by  Dr. Balazs Aczel, ELTE University, Hungary  Dr. Tom Hardwicke, Stanford University  Dr. Rink Hoekstra, University of Groningen     Contact:  kovacs.marton@ppk.elte.hu  The OSF page of the project:  https://osf.io/myu3v/	How frequently do you think that any kind of data management mistake happens in your research team?	Could you write down the most frequent data-related mistake that happened in a research project you were involved in anytime in the last 5 years?	What was the cause that led to the just mentioned mistake?	How frequent would you rate the just mentioned mistake on the following scale?	How serious would you rate the just mentioned mistake regarding financial losses, erroneous conclusions, time losses or frustration?	Which kind of negative outcome occurred? - Selected Choice	Which kind of negative outcome occurred? - other - Text	Could you write down the most serious data-related mistake that happened years in your team in the last 5 years?	What was the cause that led to the just mentioned mistake?	How serious would you rate the just mentioned mistake regarding financial losses, erroneous conclusions, time losses or frustration?	Which kind of negative outcome occurred? - Selected Choice	Which kind of negative outcome occurred? - other - Text	Please tell us some about your background: What is your field of research?	Years of experience in your research field:	If you have any comments, questions or concerns about the study, you can write it here:
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}"	"{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}"	"{""ImportId"":""status""}"	"{""ImportId"":""progress""}"	"{""ImportId"":""duration""}"	"{""ImportId"":""finished""}"	"{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}"	"{""ImportId"":""_recordId""}"	"{""ImportId"":""distributionChannel""}"	"{""ImportId"":""userLanguage""}"	"{""ImportId"":""QID1""}"	"{""ImportId"":""QID26""}"	"{""ImportId"":""QID28_TEXT""}"	"{""ImportId"":""QID29_TEXT""}"	"{""ImportId"":""QID30""}"	"{""ImportId"":""QID31""}"	"{""ImportId"":""QID32""}"	"{""ImportId"":""QID32_6_TEXT""}"	"{""ImportId"":""QID33_TEXT""}"	"{""ImportId"":""QID34_TEXT""}"	"{""ImportId"":""QID35""}"	"{""ImportId"":""QID36""}"	"{""ImportId"":""QID36_6_TEXT""}"	"{""ImportId"":""QID2""}"	"{""ImportId"":""QID37""}"	"{""ImportId"":""QID9_TEXT""}"
2018-11-24 14:38:34	2018-11-24 14:52:26	IP Address	100	831	True	2018-11-24 14:52:26	R_OsbjDax8tZ9HrBD	anonymous	EN	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	methodology and statistics	18	trial
2018-11-24 15:36:24	2018-11-24 15:42:45	IP Address	100	381	True	2018-11-24 15:42:46	R_2uvoSr4aOSXlhoN	anonymous	EN	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2018-11-25 11:44:46	2018-11-25 11:45:15	Survey Preview	100	29	True	2018-11-25 11:45:16	R_3haoYfua4zboVyb	preview	EN	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	applied psychology	9	NA
2018-11-26 13:59:54	2018-11-26 14:02:33	IP Address	100	159	True	2018-11-26 14:02:34	R_202sfhbxfEwDsEV	email	EN	Yes	"Very Low
Occurs never or rarely"	NA	NA	"Very Low
Occurs never or rarely"	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	time loss	NA	NA	NA	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	time loss	NA	other	30	NA
2018-11-26 14:58:02	2018-11-26 15:00:38	IP Address	100	156	True	2018-11-26 15:00:39	R_3kBPKtkLfMFdp7R	email	EN	Yes	"Low
Occurs in some of the projects"	Transcription errors going from paper to computer	Human error	"Low
Occurs in some of the projects"	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	other	Assuming random errors, probably not erroneous conclusions	In some cases, the field assistants neglected to record some of the data.	Negligence	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	frustration	NA	other	11	I'm not a psychologist.
2018-11-26 15:35:13	2018-11-26 15:40:14	IP Address	100	300	True	2018-11-26 15:40:15	R_1rrxPxsFGkflPpx	email	EN	Yes	"Low
Occurs in some of the projects"	failing to add informative meta-data	time pressure, laziness, failing to empathize with the next user who's unfamiliar with the data	"Low
Occurs in some of the projects"	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	other	little re-use	don't remember	don't remember	"Insignificant
Minutes of time loss. Insignificant financial loss. No effect on conclusions.
Example: Occasional typos in the variable names"	other	don't remember	other	30	Good luck!
2018-11-26 15:45:34	2018-11-26 15:47:54	IP Address	100	140	True	2018-11-26 15:47:55	R_12bhBKmNyRkrtgz	email	EN	Yes	"Moderate
Occurs in half of the projects"	NA	Human error	"Low
Occurs in some of the projects"	"Moderate
Definite time and/or money loss. Mild frustration. Potential effect on some conclusions.
Example: Have to record part of the whole sample again."	NA	NA	NA	NA	NA	NA	NA	other	15	NA
2018-11-26 17:21:51	2018-11-26 17:26:36	IP Address	100	285	True	2018-11-26 17:26:37	R_8pOKqiOkWWJ7MMF	email	EN	Yes	"Low
Occurs in some of the projects"	Nothing in the past 5 years, but prior to that I have lost data due to computer crashes. I have also lost data when moving University.	Computer malfunction in one case and not sure what happened in the other as several old 'floppy disks' seemed to disappear..	"Very Low
Occurs never or rarely"	"Minor
Some project delay and/ or money loss. Short-timed frustration. No effect on conclusions.
Example: Have to rerun the analysis."	other	Was not overly problematic and this related to old data that was already published	NA	NA	NA	NA	NA	experimental and cognitive psychology	25	NA
